Permutation,Accuracy,Manual Accuracy,Inverse Manual Accuracy,Difference
"['battery_status', 'locked', 'volume_mode', 'interaction_time']",0.6386627906976744,0.6203488,0.37965116,0.01831397954807723
"['battery_status', 'covered', 'location', 'locked']",0.6161309884778654,0.61188596,0.388114,0.004245023607412524
"['battery_status', 'covered', 'location', 'volume_mode']",0.6240145542753184,0.62947243,0.3705276,-0.005457880245403057
"['battery_status', 'covered', 'locked', 'volume_mode']",0.6366279069767442,0.6351744,0.36482558,0.0014535133228745778
"['battery_status', 'location', 'locked', 'volume_mode']",0.6215888417222559,0.6100667,0.3899333,0.011522129819637517
"['covered', 'location', 'locked', 'interaction_time']",0.6042841037204059,0.5952649,0.40473506,0.009019192068794535
"['covered', 'location', 'volume_mode', 'interaction_time']",0.6200676437429538,0.62006766,0.37993234,-1.2297237894642876e-08
"['covered', 'locked', 'volume_mode', 'interaction_time']",0.6323042998897465,0.6256891,0.3743109,0.006615210591498166
"['location', 'locked', 'volume_mode', 'interaction_time']",0.6273957158962796,0.6009019,0.3990981,0.02649381417432528
"['covered', 'location', 'locked', 'volume_mode']",0.616685456595265,0.61443067,0.38556933,0.0022547906254163363
"['activity', 'battery_status', 'covered', 'location', 'interaction_time']",0.6610644257703081,0.64985996,0.35014006,0.011204460922743409
"['activity', 'battery_status', 'covered', 'locked', 'interaction_time']",0.6464019851116626,0.6377171,0.36228287,0.008684857311674787
"['activity', 'battery_status', 'covered', 'volume_mode', 'interaction_time']",0.6823821339950372,0.64929694,0.35070306,0.033085194622020864
"['activity', 'battery_status', 'location', 'locked', 'interaction_time']",0.6377217553688141,0.6265173,0.37348273,0.011204459531411803
"['activity', 'battery_status', 'location', 'volume_mode', 'interaction_time']",0.6573295985060691,0.63211954,0.3678805,0.025210062106227782
"['activity', 'battery_status', 'locked', 'volume_mode', 'interaction_time']",0.6534325889164598,0.6282051,0.37179488,0.025227468352952753
"['activity', 'battery_status', 'covered', 'location', 'locked']",0.6451914098972923,0.62184876,0.37815127,0.023342647861922416
"['activity', 'battery_status', 'covered', 'location', 'volume_mode']",0.6722689075630253,0.66386557,0.33613446,0.008403341309363155
"['activity', 'battery_status', 'covered', 'locked', 'volume_mode']",0.6592224979321754,0.6401985,0.3598015,0.019023969165543275
"['activity', 'battery_status', 'location', 'locked', 'volume_mode']",0.6302521008403361,0.61998135,0.38001868,0.010270752325779231
"['activity', 'covered', 'location', 'locked', 'interaction_time']",0.6586270871985158,0.64471245,0.35528758,0.013914639078398627
"['activity', 'covered', 'location', 'volume_mode', 'interaction_time']",0.6781076066790352,0.6521336,0.34786642,0.025974022656513274
"['activity', 'covered', 'locked', 'volume_mode', 'interaction_time']",0.6602141680395387,0.6449753,0.35502473,0.015238863435962036
"['activity', 'location', 'locked', 'volume_mode', 'interaction_time']",0.6567717996289425,0.6400742,0.35992578,0.016697606151311883
"['activity', 'covered', 'location', 'locked', 'volume_mode']",0.6539888682745826,0.6474954,0.35250464,0.006493479289902404
"['battery_status', 'covered', 'location', 'locked', 'interaction_time']",0.6221952698605215,0.61795026,0.38204974,0.004245009221330864
"['battery_status', 'covered', 'location', 'volume_mode', 'interaction_time']",0.6506973923590055,0.6337174,0.36628258,0.016979974642025497
"['battery_status', 'covered', 'locked', 'volume_mode', 'interaction_time']",0.6383720930232558,0.6267442,0.37325582,0.01162788230319356
"['battery_status', 'location', 'locked', 'volume_mode', 'interaction_time']",0.6434202546998181,0.6209824,0.3790176,0.022437846176258547
"['battery_status', 'covered', 'location', 'locked', 'volume_mode']",0.6294724075197089,0.624621,0.37537903,0.004851433455835608
"['covered', 'location', 'locked', 'volume_mode', 'interaction_time']",0.625140924464487,0.59639233,0.40360767,0.02874859095694915
"['activity', 'battery_status', 'covered', 'location', 'locked', 'interaction_time']",0.6470588235294118,0.6283847,0.37161532,0.018674114171196465
"['activity', 'battery_status', 'covered', 'location', 'volume_mode', 'interaction_time']",0.673202614379085,0.65919703,0.340803,0.01400558192745538
"['activity', 'battery_status', 'covered', 'locked', 'volume_mode', 'interaction_time']",0.6563275434243176,0.6344086,0.3655914,0.02191895024652224
"['activity', 'battery_status', 'location', 'locked', 'volume_mode', 'interaction_time']",0.6545284780578898,0.6265173,0.37348273,0.028011182220487485
"['activity', 'battery_status', 'covered', 'location', 'locked', 'volume_mode']",0.61531279178338,0.627451,0.37254903,-0.012138210814428785
"['activity', 'covered', 'location', 'locked', 'volume_mode', 'interaction_time']",0.6586270871985158,0.64471245,0.35528758,0.013914639078398627
"['battery_status', 'covered', 'location', 'locked', 'volume_mode', 'interaction_time']",0.6215888417222559,0.6252274,0.37477258,-0.0036385499975621904
"['activity', 'battery_status', 'covered', 'location', 'locked', 'volume_mode', 'interaction_time']",0.6694677871148459,0.6573296,0.3426704,0.012138168184029241
