device_id	notification_id	prox
adf653615f6644e5a2feeabf5f7ac675	d6927b6e57704e55be9f4f8448fc5c84	1
adf653615f6644e5a2feeabf5f7ac675	f8b51cee63ea4ebc9cea002e1d440068	1
db9a6313e6e84616b9be27054a2094b2	098e30e508f54d4393a4e553570b4ff7	1
3ac8550c4587483290c57e5e98d6ee05	f2a7bd67fa2b4c339117e9aad9936567	1
d143f2f107854051bfc9e2cbe8c913b5	9782279560654bdc995cb2f69036547f	1
d143f2f107854051bfc9e2cbe8c913b5	65133b998dbb4413b87c4804d3a4c427	1
f388a39a209144198f1312861dab3105	c72ea30f45d34384afd89aea391d8be7	1
43fd6ac3ba544d0aa99bb50a266d1f76	1ff4c662533e4f2a9bbc5447ac324707	1
adf653615f6644e5a2feeabf5f7ac675	14be130d78b046458044fa6803932222	1
d143f2f107854051bfc9e2cbe8c913b5	cd73fd72d4454e5d87731984f68907a1	1
db9a6313e6e84616b9be27054a2094b2	ff16a5628e184d60be333c321b971ab8	1
f388a39a209144198f1312861dab3105	2f4083d5672b46e19b6f2ea0d09ea3f5	1
d143f2f107854051bfc9e2cbe8c913b5	95a7d247747f40eeabcc865b90580dc7	1
3ac8550c4587483290c57e5e98d6ee05	b1fbd73ae0a2441fbad60d6b9e9c3e7b	1
6dbcd91158e248bea04dd5dd7c81e76e	fcdd7a7b02804569be3775707610679d	1
adf5c3a65c8e4d0abc900fccf2b665fe	0834f177129c4c80945783301680138b	0
e79a7d3e6985433d82ade35e42d3f1ff	68077d0028ed46f2ad18e5d3a0107ef9	1
db9a6313e6e84616b9be27054a2094b2	50fb53b5086b4f4abc1be1f97f71a627	1
43fd6ac3ba544d0aa99bb50a266d1f76	1c280ed26794400385ad384a7dc54246	1
adf653615f6644e5a2feeabf5f7ac675	8c31ff1a6f624912ba36a721e0dec99d	1
f388a39a209144198f1312861dab3105	dd81813ea3b147a2bf3fbe0218d01dd3	1
3ac8550c4587483290c57e5e98d6ee05	3bf47c3c88ea4eaebddacb2a7b050cf3	0
f388a39a209144198f1312861dab3105	b06e34c2352b45d9baf154620ef6ae39	1
3ac8550c4587483290c57e5e98d6ee05	128be7f040e549f185de0bb5d08dc7b8	1
6dbcd91158e248bea04dd5dd7c81e76e	8e75636ba73d417a81f818550817a52a	1
3ac8550c4587483290c57e5e98d6ee05	9c98234c6c354994b4876c037f66e08c	1
6dbcd91158e248bea04dd5dd7c81e76e	16cf0648699a42c7a3b082a88103e5e0	1
6dbcd91158e248bea04dd5dd7c81e76e	f26461b243e94c4ba9b9cd7265b6578d	1
d143f2f107854051bfc9e2cbe8c913b5	03eab6e1a86c41f9b8002a80b0bef19d	1
6dbcd91158e248bea04dd5dd7c81e76e	c356fa6c982e4ca9b0c7db17f09fd34a	1
6dbd5e5e6c6040938ed458705ece452e	31ec671b5e6444d0823fcf06fccd21c7	1
6fcc5b3f284642e7b91d8c16df97167a	b04bde6bedfc42dca2095ae3395fe40e	0
6dbd5e5e6c6040938ed458705ece452e	b2b6235bcf21437f89db0ae5f6bd1bfc	1
f388a39a209144198f1312861dab3105	9124140df43942d0ae7aba5fad91d429	0
adf653615f6644e5a2feeabf5f7ac675	4fa3abf0a75e441cb0eab478d41817bb	1
d143f2f107854051bfc9e2cbe8c913b5	6ce8a4066abf42ab965881f73b87e205	1
3ea1a425177d4163a5a9f04c690d2965	805df0b9867f4b7c805b9fc11dc450fe	0
d143f2f107854051bfc9e2cbe8c913b5	719c7345bf3c4f47bd3fa6a7ddacfdf8	0
6dbcd91158e248bea04dd5dd7c81e76e	98c16bded9aa494f9917f6d2e2bb7685	1
f388a39a209144198f1312861dab3105	3f35715fc245403684c76edf782bd6ec	1
6dbcd91158e248bea04dd5dd7c81e76e	b2686943711345788333df91d461b225	1
db9a6313e6e84616b9be27054a2094b2	c3472d580df048be923e38082190baab	1
adf653615f6644e5a2feeabf5f7ac675	c2a4241005f446efa6d55a9d726981bc	1
3ac8550c4587483290c57e5e98d6ee05	0d20a143bd5a49a4afe7663a940312d5	1
db9a6313e6e84616b9be27054a2094b2	e59eee36963b43e190734a331d659f0c	1
6fcc5b3f284642e7b91d8c16df97167a	3bfc85d05dac497e8a02acbeb466e64f	0
6dbd5e5e6c6040938ed458705ece452e	9416f429ea844a29beb8bd8acd8a79f1	1
