device_id	notification_id	name
db9a6313e6e84616b9be27054a2094b2	dad0cbb7808443e888af935a89cc181c	DDVKCOFT
43fd6ac3ba544d0aa99bb50a266d1f76	4fe89f3159ee405398133c02026f377c	ZBYVAYSU
e50958b880754ea19659c6aa7f1e9dd7	925a420d46884ab39a6a6ef2c65356cc	RRYCGPTJ
adf653615f6644e5a2feeabf5f7ac675	9e9ecfa938904a4e989d1596175db97f	OUGPHRZT
3ac8550c4587483290c57e5e98d6ee05	5775461ad079460bae79182ada911f26	ANQWJBMW
3ac8550c4587483290c57e5e98d6ee05	5775461ad079460bae79182ada911f26	EATDJLVJ
3ac8550c4587483290c57e5e98d6ee05	5775461ad079460bae79182ada911f26	LPKOGQDW
3ac8550c4587483290c57e5e98d6ee05	5775461ad079460bae79182ada911f26	CKGJSHVC
3ac8550c4587483290c57e5e98d6ee05	5775461ad079460bae79182ada911f26	HBDVXVVU
3ac8550c4587483290c57e5e98d6ee05	5775461ad079460bae79182ada911f26	VKJZPUPA
3ac8550c4587483290c57e5e98d6ee05	33989d1d9e6244c9b342569a0278eea3	SNRKAJGM
3ac8550c4587483290c57e5e98d6ee05	33989d1d9e6244c9b342569a0278eea3	ZBYVAYSU
adf653615f6644e5a2feeabf5f7ac675	d8cf3447148c4a1fa8aa2688a6c5b8a8	ZORIKJKR
adf653615f6644e5a2feeabf5f7ac675	d8cf3447148c4a1fa8aa2688a6c5b8a8	TDFAKAEQ
6dbcd91158e248bea04dd5dd7c81e76e	163765174e914c0996c77a79d8830069	XGBTDSOB
db9a6313e6e84616b9be27054a2094b2	1e29ddeec61f4452a8327fd890fb1944	VRIGNDSU
db9a6313e6e84616b9be27054a2094b2	1e29ddeec61f4452a8327fd890fb1944	HNGRZXNQ
3ac8550c4587483290c57e5e98d6ee05	804d0eeaabdb46d88f6d3c95bc9c6d22	RRYCGPTJ
3ac8550c4587483290c57e5e98d6ee05	804d0eeaabdb46d88f6d3c95bc9c6d22	UKXRRYYJ
adf653615f6644e5a2feeabf5f7ac675	e95a356893c1446c933f7cfb8a2490c9	ZORIKJKR
d143f2f107854051bfc9e2cbe8c913b5	b3e859900020426aa4cc08c3bf1d9787	LRZCIKRG
adf653615f6644e5a2feeabf5f7ac675	33e23f6824644e8c8b9e100af66010f8	ZORIKJKR
adf653615f6644e5a2feeabf5f7ac675	33e23f6824644e8c8b9e100af66010f8	TDFAKAEQ
3ac8550c4587483290c57e5e98d6ee05	974adf6f6cfa42feb29212ecb699b523	SNRKAJGM
3ac8550c4587483290c57e5e98d6ee05	974adf6f6cfa42feb29212ecb699b523	ZBYVAYSU
adf653615f6644e5a2feeabf5f7ac675	143dbbc5fb914c0fb89da899ac0e8f1d	EOGNTSAA
adf653615f6644e5a2feeabf5f7ac675	143dbbc5fb914c0fb89da899ac0e8f1d	TDFAKAEQ
adf653615f6644e5a2feeabf5f7ac675	143dbbc5fb914c0fb89da899ac0e8f1d	ZORIKJKR
3ac8550c4587483290c57e5e98d6ee05	d92c16c42d5f4d668e44dd5a62172028	CUWJFZYB
3ac8550c4587483290c57e5e98d6ee05	d92c16c42d5f4d668e44dd5a62172028	MKYHVVCD
3ac8550c4587483290c57e5e98d6ee05	6afb53257bae44cfa4cfe4a09fb7c692	STJWLLLJ
3ea1a425177d4163a5a9f04c690d2965	0cf567780c614f3590a4e3aca3403a74	RLWDFWHL
43fd6ac3ba544d0aa99bb50a266d1f76	e41c1ed0f0e94780badd647a708b6c46	KYGCWLHR
