device_id	notification_id	location
6dbcd91158e248bea04dd5dd7c81e76e	cf4a627462784421bc0053df4e75fe87	Other
6dbcd91158e248bea04dd5dd7c81e76e	d12ebba3540543ea82a2406fab41a3e0	Other
db9a6313e6e84616b9be27054a2094b2	7d9486db48814d31b09ed22acd3451d9	Other
6dbcd91158e248bea04dd5dd7c81e76e	bc3de92b4b014ee2914b06cc0da1c29e	Other
3ac8550c4587483290c57e5e98d6ee05	7e7ef8fe119d4f878e38993f619eae00	Home
db9a6313e6e84616b9be27054a2094b2	cc203a8abbde4a2687df44fe9a3959a9	Other
6dbcd91158e248bea04dd5dd7c81e76e	797d2e81539a4987a01d2c2fe1185295	Home
6dbd5e5e6c6040938ed458705ece452e	1ce557195eee491eb364a4d90f9b9feb	Home
adf5c3a65c8e4d0abc900fccf2b665fe	845b722e958046a5a927375ddad6dd4b	Home
6dbd5e5e6c6040938ed458705ece452e	d6a1624242c14c3aa82d429cbb00326b	Home
d143f2f107854051bfc9e2cbe8c913b5	33f9e55cf8934a3c8e5a5782d096e1df	Home
adf653615f6644e5a2feeabf5f7ac675	6fbd436a0add4ee2941c399cb6d37eca	Home
adf653615f6644e5a2feeabf5f7ac675	695de8d3f90246faaa0bf564132d84ea	Home
db9a6313e6e84616b9be27054a2094b2	a1a2a0cc6fe24fa28f73aafd8a065dd9	Home
6dbcd91158e248bea04dd5dd7c81e76e	490cd8d20f5a4ea0a540d0867e1b6f58	Other
adf5c3a65c8e4d0abc900fccf2b665fe	d0449883b8ed45899976afc872e13746	Home
6dbd5e5e6c6040938ed458705ece452e	9efa8b94d14149c5b9a4dc7856220b47	Home
3ac8550c4587483290c57e5e98d6ee05	d778b0f62d154e549c1af43c4b98cf1e	Home
6dbcd91158e248bea04dd5dd7c81e76e	3e7b4a44f52348918e3d4170259d3e94	Home
adf653615f6644e5a2feeabf5f7ac675	7e8b400ff1674464b2bb3bb06e7cf589	Home
3ac8550c4587483290c57e5e98d6ee05	92dfe205be734c2b8c4f1d288dc414de	Home
6dbcd91158e248bea04dd5dd7c81e76e	a0831d1d9c594be48734a9466ee25c0e	Home
adf5c3a65c8e4d0abc900fccf2b665fe	605680fd2de444d7a671e3a2b4a76801	Other
6dbcd91158e248bea04dd5dd7c81e76e	f1f6e37476b844a9a17f4424c0ff03de	Other
6fcc5b3f284642e7b91d8c16df97167a	b03ef28e6d8b4ca4a452e2fb16124c87	Home
d143f2f107854051bfc9e2cbe8c913b5	d448c189a3394a67a6fe6ad6cef8ac59	Home
3ac8550c4587483290c57e5e98d6ee05	6787e6694aa541a980db68addb2a67fd	Home
6fcc5b3f284642e7b91d8c16df97167a	3e7587bbb666425db5bf57d04d2a83e8	Home
43fd6ac3ba544d0aa99bb50a266d1f76	4fe89f3159ee405398133c02026f377c	Other
3ac8550c4587483290c57e5e98d6ee05	5775461ad079460bae79182ada911f26	Work
ef24e3578f264168ae5adfb7e75e4cea	47511de7633543cebba63c45871bb407	Home
db9a6313e6e84616b9be27054a2094b2	1e29ddeec61f4452a8327fd890fb1944	Work
adf653615f6644e5a2feeabf5f7ac675	e95a356893c1446c933f7cfb8a2490c9	Home
6fcc5b3f284642e7b91d8c16df97167a	317db376bc57478b84d4195f157ee190	Home
f388a39a209144198f1312861dab3105	7a83debc2f8b4848971e19464a367082	Home
3ac8550c4587483290c57e5e98d6ee05	974adf6f6cfa42feb29212ecb699b523	Home
adf653615f6644e5a2feeabf5f7ac675	143dbbc5fb914c0fb89da899ac0e8f1d	Home
3ac8550c4587483290c57e5e98d6ee05	d92c16c42d5f4d668e44dd5a62172028	Other
6dbd5e5e6c6040938ed458705ece452e	92731f0c0dbe4908b407a5d067cd696c	Home
db9a6313e6e84616b9be27054a2094b2	16ced9ab4476400aa14633fb34883b6e	Home
6dbcd91158e248bea04dd5dd7c81e76e	8df4858eb7434100be3024c6eda1688a	Other
6fcc5b3f284642e7b91d8c16df97167a	6103119621974339ac7f745d9ea3d668	Home
db9a6313e6e84616b9be27054a2094b2	fc069a9a5a664b1e90c3d575da442b2d	Home
6dbcd91158e248bea04dd5dd7c81e76e	08785d8766f1491c946689f45af0070f	Home
f388a39a209144198f1312861dab3105	43e4a31cce29419abcb8daa1a4ef8759	Home
43fd6ac3ba544d0aa99bb50a266d1f76	1ff4c662533e4f2a9bbc5447ac324707	Home
adf5c3a65c8e4d0abc900fccf2b665fe	383f6886af1546b89207b71d955e936c	Home
