device_id	notification_id	activity
adf5c3a65c8e4d0abc900fccf2b665fe	845b722e958046a5a927375ddad6dd4b	STILL
db9a6313e6e84616b9be27054a2094b2	986488ce318944b686b9f3a24045237a	STILL
43fd6ac3ba544d0aa99bb50a266d1f76	51a1cc4ae0f94c8385f621a304a26c80	STILL
adf653615f6644e5a2feeabf5f7ac675	6fbd436a0add4ee2941c399cb6d37eca	STILL
adf653615f6644e5a2feeabf5f7ac675	695de8d3f90246faaa0bf564132d84ea	STILL
d143f2f107854051bfc9e2cbe8c913b5	d116d8daae874789a834805e191ac604	STILL
3ac8550c4587483290c57e5e98d6ee05	6b635ba093ef4e60937878684ad674a1	IN_VEHICLE
f388a39a209144198f1312861dab3105	98daeb9528444d749086cfcd6cfeb4ee	STILL
adf653615f6644e5a2feeabf5f7ac675	f4e3d95a868d402e919c6c67bab5e3c4	UNKNOWN
db9a6313e6e84616b9be27054a2094b2	29b41068d41a4ec4b36969acfff0d7f2	STILL
3ac8550c4587483290c57e5e98d6ee05	7af67ddc8ca44f448d3a23f3c3dfde0c	STILL
3ac8550c4587483290c57e5e98d6ee05	5be4d6c5d0c8452abae09f32b34587a3	STILL
adf653615f6644e5a2feeabf5f7ac675	7ee0259feecb4ab0895d30ee9567dccc	STILL
3ac8550c4587483290c57e5e98d6ee05	8063edd4dc7846a4886f1373e95200d8	STILL
db9a6313e6e84616b9be27054a2094b2	902c79a7ee704829b0b5311cd90ab1ee	UNKNOWN
db9a6313e6e84616b9be27054a2094b2	dad0cbb7808443e888af935a89cc181c	STILL
d143f2f107854051bfc9e2cbe8c913b5	d0399e8152944b0f9d8306a3381303c7	STILL
e50958b880754ea19659c6aa7f1e9dd7	925a420d46884ab39a6a6ef2c65356cc	STILL
adf653615f6644e5a2feeabf5f7ac675	9e9ecfa938904a4e989d1596175db97f	STILL
db9a6313e6e84616b9be27054a2094b2	3c006c93938e46078cc628f5df6f057e	STILL
3ac8550c4587483290c57e5e98d6ee05	df7a50c60a7f458f892033764666887e	STILL
6dbcd91158e248bea04dd5dd7c81e76e	163765174e914c0996c77a79d8830069	UNKNOWN
d143f2f107854051bfc9e2cbe8c913b5	b3e859900020426aa4cc08c3bf1d9787	STILL
adf653615f6644e5a2feeabf5f7ac675	143dbbc5fb914c0fb89da899ac0e8f1d	STILL
6dbd5e5e6c6040938ed458705ece452e	92731f0c0dbe4908b407a5d067cd696c	STILL
db9a6313e6e84616b9be27054a2094b2	16ced9ab4476400aa14633fb34883b6e	STILL
db9a6313e6e84616b9be27054a2094b2	7cf738fa2a9a47e3bab5dfbf7751010d	STILL
43fd6ac3ba544d0aa99bb50a266d1f76	e41c1ed0f0e94780badd647a708b6c46	STILL
3ac8550c4587483290c57e5e98d6ee05	5f20859b50b44ef19a7edf799fe2fe21	STILL
db9a6313e6e84616b9be27054a2094b2	6ede75514e9b4578a28ea8e353c7e35e	STILL
adf653615f6644e5a2feeabf5f7ac675	f8b51cee63ea4ebc9cea002e1d440068	STILL
db9a6313e6e84616b9be27054a2094b2	098e30e508f54d4393a4e553570b4ff7	STILL
d143f2f107854051bfc9e2cbe8c913b5	9782279560654bdc995cb2f69036547f	STILL
d143f2f107854051bfc9e2cbe8c913b5	65133b998dbb4413b87c4804d3a4c427	STILL
f388a39a209144198f1312861dab3105	c72ea30f45d34384afd89aea391d8be7	STILL
43fd6ac3ba544d0aa99bb50a266d1f76	1ff4c662533e4f2a9bbc5447ac324707	STILL
d143f2f107854051bfc9e2cbe8c913b5	cd73fd72d4454e5d87731984f68907a1	STILL
db9a6313e6e84616b9be27054a2094b2	ff16a5628e184d60be333c321b971ab8	STILL
3ac8550c4587483290c57e5e98d6ee05	b1fbd73ae0a2441fbad60d6b9e9c3e7b	STILL
6dbcd91158e248bea04dd5dd7c81e76e	fcdd7a7b02804569be3775707610679d	STILL
adf5c3a65c8e4d0abc900fccf2b665fe	0834f177129c4c80945783301680138b	STILL
43fd6ac3ba544d0aa99bb50a266d1f76	1c280ed26794400385ad384a7dc54246	STILL
f388a39a209144198f1312861dab3105	dd81813ea3b147a2bf3fbe0218d01dd3	STILL
3ac8550c4587483290c57e5e98d6ee05	3bf47c3c88ea4eaebddacb2a7b050cf3	STILL
3ac8550c4587483290c57e5e98d6ee05	128be7f040e549f185de0bb5d08dc7b8	STILL
6dbcd91158e248bea04dd5dd7c81e76e	8e75636ba73d417a81f818550817a52a	STILL
6dbcd91158e248bea04dd5dd7c81e76e	16cf0648699a42c7a3b082a88103e5e0	STILL
d143f2f107854051bfc9e2cbe8c913b5	03eab6e1a86c41f9b8002a80b0bef19d	STILL
6dbcd91158e248bea04dd5dd7c81e76e	c356fa6c982e4ca9b0c7db17f09fd34a	STILL
6dbd5e5e6c6040938ed458705ece452e	31ec671b5e6444d0823fcf06fccd21c7	STILL
6dbd5e5e6c6040938ed458705ece452e	b2b6235bcf21437f89db0ae5f6bd1bfc	STILL
adf653615f6644e5a2feeabf5f7ac675	4fa3abf0a75e441cb0eab478d41817bb	UNKNOWN
d143f2f107854051bfc9e2cbe8c913b5	6ce8a4066abf42ab965881f73b87e205	STILL
6dbcd91158e248bea04dd5dd7c81e76e	98c16bded9aa494f9917f6d2e2bb7685	STILL
f388a39a209144198f1312861dab3105	3f35715fc245403684c76edf782bd6ec	STILL
6dbcd91158e248bea04dd5dd7c81e76e	b2686943711345788333df91d461b225	STILL
db9a6313e6e84616b9be27054a2094b2	c3472d580df048be923e38082190baab	STILL
adf653615f6644e5a2feeabf5f7ac675	c2a4241005f446efa6d55a9d726981bc	STILL
6dbd5e5e6c6040938ed458705ece452e	9416f429ea844a29beb8bd8acd8a79f1	STILL
d143f2f107854051bfc9e2cbe8c913b5	ebf9eaa075c84a54be636461555532dd	STILL
3ac8550c4587483290c57e5e98d6ee05	03907f8753a5497daa589a1782d78486	STILL
3ac8550c4587483290c57e5e98d6ee05	6a59deb0d18b412bb834a5ef82606078	STILL
6dbcd91158e248bea04dd5dd7c81e76e	8bf2a39624444bc2b620a7570e5267c4	UNKNOWN
db9a6313e6e84616b9be27054a2094b2	dbc399abd6c44e86b0155db250547503	STILL
adf653615f6644e5a2feeabf5f7ac675	cd4738d28a5f448da15c6689e1bfb55b	STILL
d143f2f107854051bfc9e2cbe8c913b5	469e8951714f41d3b8f40f78132ecb04	STILL
6fcc5b3f284642e7b91d8c16df97167a	a2fb9b999daf4a639dd43cc76b535020	STILL
6dbd5e5e6c6040938ed458705ece452e	5dad3648dbec4be8bfb9c6200a52b680	STILL
d143f2f107854051bfc9e2cbe8c913b5	c67221df014146a4a0260c0fdbb4febb	STILL
adf653615f6644e5a2feeabf5f7ac675	053916d0605349b0b38428ad463b04d9	STILL
43fd6ac3ba544d0aa99bb50a266d1f76	9ed041f8f75f4b76959e8fb8b1f8c906	STILL
e50958b880754ea19659c6aa7f1e9dd7	c55991a1a25d4d15be8bb71b5544882c	STILL
db9a6313e6e84616b9be27054a2094b2	8abf32a4718d4844a343c4a32329ca23	STILL
db9a6313e6e84616b9be27054a2094b2	2cabd687b9bc47a6855a9f3ea83fdf2c	STILL
